,name,company,category,type,open_source,api_available,api_status,website,source_domain,year,years_since_release
0,ChatGPT,OpenAI,LLMs & Chat Assistants,multimodal,0,1,api,https://chatgpt.com,chatgpt.com,2022,3
1,Claude,Anthropic,LLMs & Chat Assistants,multimodal,0,1,api,https://claude.ai,claude.ai,2023,2
2,Gemini,Google,LLMs & Chat Assistants,multimodal,0,1,api,https://gemini.google.com,gemini.google.com,2023,2
3,Midjourney,Midjourney,Image Gen & Editing,image,0,0,unavailable,https://www.midjourney.com,midjourney.com,2022,3
4,Stable Diffusion,Stability AI,Image Gen & Editing,image,1,1,api,https://stability.ai/stable-image,stability.ai,2022,3
5,DALL·E 3,OpenAI,Image Gen & Editing,image,0,1,api,https://openai.com/index/dall-e-3-system-card,openai.com,2023,2
6,Runway Gen-3,Runway,Video Gen & Editing,video,0,1,api,https://runwayml.com,runwayml.com,2024,1
7,Pika,Pika,Video Gen & Editing,video,0,1,api,https://pika.art,pika.art,2023,2
8,Suno,Suno,Video Gen & Editing,audio,0,1,api,https://suno.com,suno.com,2023,2
9,Udio,Udio,Video Gen & Editing,audio,0,1,api,https://www.udio.com,udio.com,2024,1
10,ElevenLabs,ElevenLabs,Audio/Music/TTS,audio,0,1,api,https://elevenlabs.io,elevenlabs.io,2022,3
11,GitHub Copilot,GitHub,LLMs & Chat Assistants,code,0,1,api,https://github.com/features/copilot,github.com,2022,3
12,Cursor,Anysphere,Code Assistants,code,0,1,api,https://cursor.com,cursor.com,2023,2
13,Sourcegraph Cody,Sourcegraph,LLMs & Chat Assistants,code,0,1,api,https://sourcegraph.com/cody,sourcegraph.com,2023,2
14,Amazon Q Developer,Amazon Web Services,LLMs & Chat Assistants,code,0,1,api,https://aws.amazon.com/q/developer/,aws.amazon.com,2023,2
15,JetBrains AI Assistant,JetBrains,LLMs & Chat Assistants,code,0,1,api,https://www.jetbrains.com/ai-assistant/,jetbrains.com,2023,2
16,Perplexity,Perplexity AI,Other,multimodal,0,1,api,https://www.perplexity.ai,perplexity.ai,2022,3
17,Meta AI,Meta,LLMs & Chat Assistants,multimodal,1,1,api,https://www.meta.ai,meta.ai,2024,1
18,Mistral Le Chat,Mistral AI,LLMs & Chat Assistants,multimodal,1,1,api,https://chat.mistral.ai,chat.mistral.ai,2024,1
19,Pinecone,Pinecone,Search & RAG,infra,0,1,api,https://www.pinecone.io,pinecone.io,2021,4
20,Weaviate,Weaviate,Search & RAG,infra,1,1,api,https://weaviate.io,weaviate.io,2019,6
21,Milvus,Zilliz,Search & RAG,infra,1,1,api,https://milvus.io,milvus.io,2019,6
22,Qdrant,Qdrant,Search & RAG,infra,1,1,api,https://qdrant.tech,qdrant.tech,2021,4
23,pgvector,Community,Search & RAG,infra,1,1,api,https://github.com/pgvector/pgvector,github.com,2023,2
24,LangChain,LangChain,Other,code,1,1,api,https://www.langchain.com,langchain.com,2022,3
25,LlamaIndex,LlamaIndex,Other,code,1,1,api,https://www.llamaindex.ai,llamaindex.ai,2022,3
26,Haystack,deepset,Other,code,1,1,api,https://haystack.deepset.ai,haystack.deepset.ai,2024,1
27,Whisper,OpenAI,Other,audio,1,1,api,https://openai.com/index/whisper/,openai.com,2022,3
28,Deepgram,Deepgram,Audio/Music/TTS,audio,0,1,api,https://deepgram.com,deepgram.com,2023,2
29,AssemblyAI,AssemblyAI,Other,audio,0,1,api,https://www.assemblyai.com,assemblyai.com,2017,8
30,Google Speech-to-Text,Google Cloud,Other,audio,0,1,api,https://cloud.google.com/speech-to-text,cloud.google.com,2018,7
31,NVIDIA NeMo Guardrails,NVIDIA,Safety & Guardrails,safety,1,1,api,https://developer.nvidia.com/nemo-guardrails,developer.nvidia.com,2023,2
32,Lakera Guard,Lakera,Safety & Guardrails,safety,0,1,api,https://www.lakera.ai/lakera-guard,lakera.ai,2023,2
33,Guardrails AI (framework),Guardrails AI,Safety & Guardrails,safety,1,1,api,https://www.guardrailsai.com/,guardrailsai.com,2023,2
34,LMQL,ETH SRI,LLMs & Chat Assistants,code,1,1,api,https://lmql.ai/,lmql.ai,2023,2
35,OpenRouter,OpenRouter,Other,infra,0,1,api,https://openrouter.ai,openrouter.ai,2023,2
36,Replicate,Replicate,Infra & Inference,infra,0,1,api,https://replicate.com,replicate.com,2021,4
37,Modal,Modal Labs,Infra & Inference,infra,0,1,api,https://modal.com,modal.com,2022,3
38,Vercel v0,Vercel,Design & UI,productivity,0,1,api,https://v0.app,v0.app,2023,2
39,Figma AI,Figma,Design & UI,design,0,1,api,https://www.figma.com/ai/,figma.com,2024,1
40,Framer AI,Framer,Design & UI,design,0,1,api,https://www.framer.com/features/ai/,framer.com,2023,2
41,Canva Magic Write,Canva,Other,productivity,0,1,api,https://www.canva.com/magic-write/,canva.com,2022,3
42,Notion AI,Notion,Productivity & Copilots,productivity,0,1,api,https://www.notion.com/product/ai,notion.com,2023,2
43,Cohere Command R,Cohere,LLMs & Chat Assistants,multimodal,0,1,api,https://cohere.com,cohere.com,2024,1
44,xAI Grok,xAI,LLMs & Chat Assistants,multimodal,0,1,api,https://x.ai,x.ai,2023,2
45,DeepSeek R1,DeepSeek,LLMs & Chat Assistants,multimodal,1,1,api,https://www.deepseek.com,deepseek.com,2025,0
46,Mistral Large,Mistral AI,LLMs & Chat Assistants,multimodal,1,1,api,https://mistral.ai,mistral.ai,2023,2
47,Llama 3.1,Meta,LLMs & Chat Assistants,multimodal,1,1,api,https://ai.meta.com/llama/,ai.meta.com,2023,2
48,Qwen 2.5,Alibaba Cloud,LLMs & Chat Assistants,multimodal,1,1,api,https://qwenlm.ai/,qwenlm.ai,2025,0
49,Gemma 2,Google,LLMs & Chat Assistants,multimodal,1,1,api,https://ai.google.dev/gemma,ai.google.dev,2024,1
50,DBRX,Databricks,LLMs & Chat Assistants,multimodal,1,1,api,https://www.databricks.com/research/dbrx,databricks.com,2024,1
51,Phi-3,Microsoft,LLMs & Chat Assistants,multimodal,1,1,api,https://www.microsoft.com/ai,microsoft.com,2024,1
52,MPT-7B,MosaicML,LLMs & Chat Assistants,text,1,1,api,https://www.mosaicml.com,mosaicml.com,2023,2
53,Mixtral 8x7B,Mistral AI,LLMs & Chat Assistants,text,1,1,api,https://mistral.ai,mistral.ai,2023,2
54,OpenAI o3-mini,OpenAI,LLMs & Chat Assistants,multimodal,0,1,api,https://platform.openai.com,platform.openai.com,2025,0
55,GPT-4o,OpenAI,LLMs & Chat Assistants,multimodal,0,1,api,https://platform.openai.com,platform.openai.com,2023,2
